,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
77,Cl-Sn,2,4.662565069151999,4.662565069151999,0.15524283240204173,4.552791809629908,4.772338328674088,0.21954651904418032,4.607678439390953,4.7174516989130435,0.1097732595220906
78,Cl-Sr,2,8.992316847134761,8.992316847134761,0.7204656230198886,8.482870719485607,9.501762974783915,1.018892255298308,8.737593783310185,9.247039910959337,0.5094461276491522
79,Cl-Te,6,2.157397557546186,2.2768877187429446,0.3719109576482505,1.6758524104962518,2.59602796221676,0.9201755517205081,1.853087083411638,2.3744039272684963,0.5213168438568583
80,Cl-Ti,3,1.497223895523559,1.472509382204579,0.12864059835831693,1.3827336131074317,1.6364286912586663,0.2536950781512346,1.4276214976560053,1.5544690367316227,0.1268475390756174
81,Cl-V,1,3.4585896552511963,3.4585896552511963,,3.4585896552511963,3.4585896552511963,0.0,3.4585896552511963,3.4585896552511963,0.0
82,Cl-Y,1,1.8521282846701212,1.8521282846701212,,1.8521282846701212,1.8521282846701212,0.0,1.8521282846701212,1.8521282846701212,0.0
83,Cl-Zn,2,6.8402434908235215,6.8402434908235215,0.8467930330831125,6.241470394868928,7.4390165867781155,1.1975461919091872,6.540856942846225,7.139630038800819,0.598773095954594
84,Cl-Zr,3,1.8715204157609904,1.8777746550154282,0.12435627038111711,1.7441550357160858,1.9926315565514572,0.24847652083537142,1.810964845365757,1.9352031057834427,0.12423826041768571
85,Cr-O,1,1.2304957578581073,1.2304957578581073,,1.2304957578581073,1.2304957578581073,0.0,1.2304957578581073,1.2304957578581073,0.0
86,Cr-S,3,1.1465875749839953,1.2944246506512027,0.3968561892485034,0.6970322654699952,1.448305808830788,0.7512735433607929,0.995728458060599,1.3713652297409955,0.37563677168039655
87,Cr-Se,3,1.1443948958151458,1.1650582430938503,0.1613568039570815,0.9737017937003845,1.2944246506512027,0.32072285695081826,1.0693800183971174,1.2297414468725265,0.16036142847540913
88,Cr-Te,3,0.8275666130501026,0.8119657799799282,0.13899297268987781,0.6970322654699952,0.9737017937003845,0.27666952823038926,0.7544990227249617,0.8928337868401564,0.13833476411519463
89,Cu-I,1,3.5038944553919844,3.5038944553919844,,3.5038944553919844,3.5038944553919844,0.0,3.5038944553919844,3.5038944553919844,0.0
90,Cu-S,1,1.5839892840258991,1.5839892840258991,,1.5839892840258991,1.5839892840258991,0.0,1.5839892840258991,1.5839892840258991,0.0
91,F-Ge,1,0.350082536941299,0.350082536941299,,0.350082536941299,0.350082536941299,0.0,0.350082536941299,0.350082536941299,0.0
92,F-Si,1,2.3327620780818847,2.3327620780818847,,2.3327620780818847,2.3327620780818847,0.0,2.3327620780818847,2.3327620780818847,0.0
93,Ga-N,1,4.465219885174571,4.465219885174571,,4.465219885174571,4.465219885174571,0.0,4.465219885174571,4.465219885174571,0.0
94,Ga-O,1,3.8514748749556778,3.8514748749556778,,3.8514748749556778,3.8514748749556778,0.0,3.8514748749556778,3.8514748749556778,0.0
95,Ga-P,1,3.273229845836038,3.273229845836038,,3.273229845836038,3.273229845836038,0.0,3.273229845836038,3.273229845836038,0.0
96,Ga-S,1,4.084380938505257,4.084380938505257,,4.084380938505257,4.084380938505257,0.0,4.084380938505257,4.084380938505257,0.0
97,Ga-Se,1,3.444993082038482,3.444993082038482,,3.444993082038482,3.444993082038482,0.0,3.444993082038482,3.444993082038482,0.0
98,Ga-Te,1,2.617097678288353,2.617097678288353,,2.617097678288353,2.617097678288353,0.0,2.617097678288353,2.617097678288353,0.0
